5221327,1538170880663,1538170880693,"R",120671,82,10
5221328,1538170880867,1538170880899,"h",120671,72,204
5221329,1538170880978,1538170880998,"e",120671,69,111
5221330,1538170881062,1538170881079,"e",120671,69,84
5221331,1538170881228,1538170881251," ",120671,32,13
5221373,1538170881726,1538170881738,"BKSP",120671,8,173
5221374,1538170881939,1538170881956,"BKSP",120671,8,20
5221375,1538170882440,1538170882455,"BKSP",120671,8,26
5221376,1538170882540,1538170882556,"BKSP",120671,8,0
5221377,1538170882704,1538170882730,"BKSP",120671,8,164
5221378,1538170883022,1538170883037,"BKSP",120671,8,217
5221379,1538170884263,1538170884293,"T",120671,84,332
5221380,1538170884460,1538170884475,"h",120671,72,197
5221381,1538170884581,1538170884599,"e",120671,69,121
5221382,1538170884681,1538170884700," ",120671,32,100
5221383,1538170885714,1538170885736,"o",120671,79,1033
5221384,1538170885946,1538170885965,"p",120671,80,232
5221385,1538170886113,1538170886134,"p",120671,80,167
5221386,1538170886295,1538170886312,"o",120671,79,182
5221387,1538170886586,1538170886603,"s",120671,83,291
5221388,1538170886829,1538170886850,"i",120671,73,16
5221389,1538170887001,1538170887030,"t",120671,84,72
5221390,1538170887129,1538170887147,"i",120671,73,128
5221391,1538170887331,1538170887349,"n",120671,78,202
5221392,1538170887879,1538170887917," ",120671,32,10
5221393,1538170888267,1538170888297,"h",120671,72,5
5221394,1538170888347,1538170888361,"a",120671,65,80
5221395,1538170888579,1538170888609,"d",120671,68,169
5221396,1538170888714,1538170888745," ",120671,32,22
5221397,1538170889329,1538170889348,"l",120671,76,3
5221398,1538170889447,1538170889466,"a",120671,65,118
5221417,1538170889582,1538170889601,"n",120671,78,121
5221418,1538170889697,1538170889715,"s",120671,83,115
5221419,1538170891580,1538170891601,"BKSP",120671,8,104
5221420,1538170891809,1538170891828,"BKSP",120671,8,156
5221421,1538170892009,1538170892028,"BKSP",120671,8,200
5221422,1538170892209,1538170892230,"BKSP",120671,8,200
5221423,1538170892781,1538170892801,"p",120671,80,69
5221424,1538170892980,1538170893000,"l",120671,76,111
5221425,1538170893116,1538170893135,"a",120671,65,53
5221426,1538170893281,1538170893303,"n",120671,78,65
5221427,1538170893450,1538170893475,"s",120671,83,100
5221428,1538170893564,1538170893586," ",120671,32,21
5221429,1538170894348,1538170894369,"t",120671,84,209
5221430,1538170894514,1538170894532,"o",120671,79,99
5221431,1538170894664,1538170894693," ",120671,32,13
5221432,1538170894913,1538170894931,"h",120671,72,36
5221433,1538170895047,1538170895062,"o",120671,79,15
5221434,1538170895247,1538170895269,"l",120671,76,69
5221435,1538170895481,1538170895509," ",120671,32,66
5221436,1538170895976,1538170895994,"BKSP",120671,8,169
5221437,1538170896280,1538170896294,"d",120671,68,79
5221438,1538170896432,1538170896451," ",120671,32,127
5221439,1538170897864,1538170897883,"g",120671,71,10
5221440,1538170898248,1538170898268,"l",120671,76,126
5221441,1538170898431,1538170898452,"d",120671,68,109
5221442,1538170898603,1538170898640,"e",120671,69,54
5221443,1538170898697,1538170898717,"m",120671,77,9
5221444,1538170898881,1538170898903,"o",120671,79,5
5221445,1538170899780,1538170899800,"l",120671,76,23
5221446,1538170900031,1538170900049,"l",120671,76,109
5221485,1538170900231,1538170900249,"l",120671,76,200
5221486,1538170900310,1538170900330,"BKSP",120671,8,79
5221487,1538170900657,1538170900675,"BKSP",120671,8,347
5221488,1538170901158,1538170901171,"BKSP",120671,8,70
5221489,1538170901457,1538170901475,"BKSP",120671,8,218
5221490,1538170901673,1538170901690,"BKSP",120671,8,216
5221491,1538170901856,1538170901875,"BKSP",120671,8,183
5221492,1538170902041,1538170902059,"BKSP",120671,8,185
5221493,1538170902208,1538170902225,"BKSP",120671,8,12
5221494,1538170902677,1538170902695,"BKSP",120671,8,118
5221495,1538170903733,1538170903752,"d",120671,68,120
5221496,1538170904115,1538170904134,"e",120671,69,38
5221497,1538170904381,1538170904402,"m",120671,77,111
5221498,1538170904564,1538170904581,"o",120671,79,36
5221499,1538170904731,1538170904751,"n",120671,78,35
5221500,1538170904849,1538170904868,"s",120671,83,37
5221501,1538170905117,1538170905132,"t",120671,84,61
5221502,1538170905348,1538170905367,"a",120671,65,59
5221503,1538170905565,1538170905584,"r",120671,82,10
5221522,1538170905815,1538170905843,"t",120671,84,250
5221523,1538170905982,1538170906000,"i",120671,73,158
