1229,1536214796713,1536214796723,"",30,229,4184
1230,1536214796785,1536214796797,"",30,229,72
1231,1536214797033,1536214797048,"",30,229,248
1232,1536214797488,1536214797508,"",30,229,455
1233,1536214797732,1536214797741,"",30,229,244
1234,1536214798087,1536214798097,"",30,229,355
1235,1536214798500,1536214798515,"",30,229,413
1236,1536214798554,1536214798566,"",30,229,54
1237,1536214799124,1536214799145,"",30,229,570
1238,1536214799198,1536214799208,"",30,229,74
1239,1536214799403,1536214799421,"",30,229,205
1240,1536214799518,1536214799535,"",30,229,115
1241,1536214799563,1536214799584,"",30,229,45
1242,1536214800935,1536214800944,"",30,229,1372
1243,1536214801149,1536214801159,"",30,229,214
1244,1536214801311,1536214801322,"",30,229,162
1245,1536214801430,1536214801440,"",30,229,119
1246,1536214803783,1536214803798,"",30,229,2353
1247,1536214803957,1536214803967,"",30,229,174
1248,1536214807860,1536214807871,"",30,229,3903
1249,1536214808573,1536214808587,"",30,229,713
1250,1536214808728,1536214808737,"",30,229,155
1251,1536214808949,1536214808960,"",30,229,221
1252,1536214809211,1536214809222,"",30,229,262
1253,1536214809634,1536214809644,"",30,229,423
1254,1536214810466,1536214810478,"",30,229,832
1255,1536214810628,1536214810648,"",30,229,162
1256,1536214814654,1536214814666,"",30,229,4026
1257,1536214814672,1536214814686,"",30,229,18
1258,1536214814699,1536214814709,"",30,229,27
1259,1536214814794,1536214814814,"",30,229,95
1260,1536214814905,1536214814918,"",30,229,111
1261,1536214814949,1536214814959,"",30,229,44
1262,1536214815941,1536214815960,"",30,229,992
1263,1536214816035,1536214816046,"",30,229,94
1264,1536214816164,1536214816184,"",30,229,129
1265,1536214816705,1536214816713,"",30,229,541
1266,1536214816909,1536214816917,"",30,229,204
1267,1536214817239,1536214817262,"",30,229,330
1268,1536214817325,1536214817340,"",30,229,86
1269,1536214817373,1536214817388,"",30,229,48
1270,1536214818300,1536214818312,"",30,229,927
1271,1536214818427,1536214818439,"",30,229,127
1272,1536214818586,1536214818601,"",30,229,159
1273,1536214818681,1536214818692,"",30,229,95
1274,1536214819326,1536214819336,"",30,229,645
1275,1536214819342,1536214819361,"",30,229,16
1276,1536214819378,1536214819410,"",30,229,36
1277,1536214819635,1536214819645,"",30,229,257
1278,1536214819738,1536214819747,"",30,229,103
1279,1536214819789,1536214819798,"",30,229,51
1280,1536214820752,1536214820771,"",30,229,963
1281,1536214820814,1536214820832,"",30,229,62
1282,1536214820951,1536214820964,"",30,229,137
1283,1536214821814,1536214821845,"",30,229,863
1284,1536214821983,1536214822011,"",30,229,169
1285,1536214822124,1536214822135,"",30,229,141
1286,1536214822223,1536214822237,"",30,229,99
1287,1536214822343,1536214822366,"",30,229,120
1288,1536214824557,1536214824568,"",30,229,2214
1289,1536214824703,1536214824718,"",30,229,146
1290,1536214824859,1536214824867,"",30,229,156
1291,1536214825243,1536214825253,"",30,229,384
1292,1536214825711,1536214825725,"",30,229,468
1293,1536214825728,1536214825739,"",30,229,17
1294,1536214825751,1536214825764,"",30,229,23
1295,1536214825918,1536214825928,"",30,229,167
1296,1536214826305,1536214826321,"",30,229,387
1297,1536214827762,1536214827774,"",30,229,1457
